nombre,latitud,longitud,tipo
DSTAgE,40.4246847,-3.6962925,rest
Gofio,40.4193176,-3.7001594,rest
Casa Bernardi,38.6917839,0.0785022,rest
Malena,41.6563324,0.3896166,rest
Slow & Low,41.3805322,2.1584002,rest
Skina,36.5116735,-4.9012506,rest
2 Estaciones,39.4626106,-0.3702585,rest
Can Poal,41.531725,2.2986879,rest
Hostal Jaumet,41.8097276,1.4029806,rest
Silabario,42.2363322,-8.7220499,rest
Fierro,39.4625709,-0.3726653,rest
Los Fueros,43.259617,-2.923103,rest
Mirko Carturan Cuiner,41.6300201,2.1657336,rest
La Gaia,38.9174239,1.4415572,rest
Villa Retiro,40.9123194,0.490196,rest
As Garzas,43.3213756,-8.8719851,rest
Martín Berasategui,43.2669352,-2.0157211,rest
Alberca,39.4602814,-5.8839687,rest
Cal Paradís,40.1767144,-0.0339761,rest
El Secreto de Chimiche,28.132975,-16.532373,rest
La Barra de Kaymus,39.4852594,-0.4030128,rest
Garbí,41.6107945,2.0872822,rest
Las Termas,42.4563607,-6.0552439,rest
Moments,41.3911693,2.1664829,rest
La Bola de Jorge Bosch,28.512541,-16.3519798,rest
Marc Fosh,39.5735982,2.6513729,rest
Treze,40.4267883,-3.6784386,rest
La Aquarela,27.7744701,-15.6930938,rest
La Boscana,41.66112,0.8093196,rest
Raúl Resino,40.4221851,0.4293978,rest
Magoga,37.605446,-0.98376,rest
Cami·Vell,39.1472451,-0.4376742,rest
El Buey,38.1067896,-0.7974394,rest
Asador La Chumbera,36.9393074,-1.9342889,rest
Lasarte,41.3936278,2.1622018,rest
Mu•na,42.5434,-6.59309,rest
ABaC,41.4103822,2.1367664,rest
El Doncel,41.0692522,-2.643727,rest
El Cel de les Oques,41.5631112,2.0115738,rest
Elías,38.415276,-0.9605619,rest
Casa Chesmy,41.9063675,-4.4894288,rest
Etxebarri,43.1143511,-2.5974397,rest
Alkimia,41.3826841,2.1635878,rest
El Risco,29.114674,-13.54778,rest
Yayo Daporta,42.5128612,-8.8148041,rest
Venta Moncalvillo,42.3715602,-2.5805894,rest
El Chaleco,36.7390013,-3.6980484,rest
Disfrutar,41.3879756,2.1530369,rest
Mina,43.2550491,-2.9248606,rest
Angle,41.3882671,2.1597015,rest
Consolación,37.2888245,-7.1505648,rest
Ama,43.1322758,-2.0776318,rest
Gente Rara,41.6587729,-0.8705451,rest
VelascoAbellà,40.4559644,-3.6797233,rest
Arzak,43.3214016,-1.9490932,rest
Dos Palillos,41.3833692,2.1686733,rest
Casa el Tio David,38.7736552,-0.5552538,rest
Béns d'Avall,39.7766578,2.6665427,rest
Napicol,39.5270165,-0.3233991,rest
La Rebotica,41.337964,-1.2236069,rest
